frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
177,5910.9,,,,,,,,,,17,688,619,,,,,,,,,,,,,,,
178,5943.1,,,,,,,,,,18,688,618,,,,,,,,,,,,,,,
179,5974.8,,,,,,,,,,18,688,618,,,,,,,,,,,,,,,
180,6010.7,,,,,,,,,,18,688,618,,,,,,,,,,,,,,,
181,6043.7,,,,,,,,,,18,687,617,,,,,,,,,,,,,,,
182,6074.9,,,,,,,,,,17,687,616,,,,,,,,,,,,,,,
183,6111.1,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
184,6142.8,,,,,,,,,,18,686,617,,,,,,,,,,,,,,,
185,6175.5,,,,,,,,,,18,687,617,,,,,,,,,,,,,,,
186,6210.9,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
187,6242.8,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
188,6274.7,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
189,6310.6,,,,,,,,,,17,687,617,,,,,,,,,,,,,,,
190,6343.8,,,,,,,,,,18,688,617,,,,,,,,,,,,,,,
191,6375.0,,,,,,,,,,18,688,616,,,,,,,,,,,,,,,
192,6410.6,,,,,,,,,,18,688,616,,,,,,,,,,,,,,,
193,6447.7,,,,,,,,,,18,688,617,,,,,,,,,,,,,,,
194,6475.2,,,,,,,,,,18,688,618,,,,,,,,,,,,,,,
195,6513.8,,,,,,,,,,17,688,618,,,,,,,,,,,,,,,
196,6542.7,,,,,,,,,,18,689,618,,,,,,,,,,,,,,,
197,6574.8,,,,,,,,,,18,689,619,,,,,,,,,,,,,,,
198,6610.9,,,,,,,,,,18,689,619,,,,,,,,,,,,,,,
199,6642.8,,,,,,,,,,18,689,619,,,,,,,,,,,,,,,
200,6674.8,,,,,,,,,,17,688,620,,,,,,,,,,,,,,,
201,6711.5,,,,,,,,,,18,688,620,,,,,,,,,,,,,,,
202,6742.7,,,,,,,,,,18,688,620,,,,,,,,,,,,,,,
203,6774.7,,,,,,,,,,17,688,620,,,,,,,,,,,,,,,
204,6811.6,,,,,,,,,,17,687,621,,,,,,,,,,,,,,,
205,6842.8,,,,,,,,,,18,688,621,,,,,,,,,,,,,,,
206,6874.7,,,,,,,,,,18,687,621,,,,,,,,,,,,,,,
207,6912.8,,,,,,,,,,18,687,621,,,,,,,,,,,,,,,
208,6943.8,,,,,,,,,,18,687,622,,,,,,,,,,,,,,,
209,6975.0,,,,,,,,,,18,687,621,,,,,,,,,,,,,,,
210,7010.9,,,,,,,,,,18,687,622,,,,,,,,,,,,,,,
211,7042.9,,,,,,,,,,18,687,622,,,,,,,,,,,,,,,
212,7074.8,,,,,,,,,,18,687,621,,,,,,,,,,,,,,,
213,7110.6,,,,,,,,,,18,688,621,,,,,,,,,,,,,,,
214,7142.7,,,,,,,,,,18,688,621,,,,,,,,,,,,,,,
215,7175.1,,,,,,,,,,18,688,620,,,,,,,,,,,,,,,
216,7210.8,,,,,,,,,,17,688,620,,,,,,,,,,,,,,,
217,7243.5,,,,,,,,,,18,688,620,,,,,,,,,,,,,,,
218,7275.1,,,,,,,,,,18,689,619,,,,,,,,,,,,,,,
219,7311.2,,,,,,,,,,18,689,620,,,,,,,,,,,,,,,
220,7343.2,,,,,,,,,,18,689,619,,,,,,,,,,,,,,,
221,7375.1,,,,,,,,,,18,689,618,,,,,,,,,,,,,,,
222,7413.5,,,,,,,,,,17,688,618,,,,,,,,,,,,,,,
223,7443.0,,,,,,,,,,18,688,618,,,,,,,,,,,,,,,
224,7475.5,,,,,,,,,,17,688,618,,,,,,,,,,,,,,,
225,7510.5,,,,,,,,,,18,688,617,,,,,,,,,,,,,,,
226,7543.7,,,,,,,,,,17,688,618,,,,,,,,,,,,,,,
227,7575.1,,,,,,,,,,17,687,617,,,,,,,,,,,,,,,
228,7611.1,,,,,,,,,,18,687,617,,,,,,,,,,,,,,,
229,7644.2,,,,,,,,,,18,686,616,,,,,,,,,,,,,,,
230,7675.0,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
231,7710.6,,,,,,,,,,18,686,616,,,,,,,,,,,,,,,
232,7747.7,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
233,7776.2,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
234,7810.6,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
235,7842.9,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
236,7874.9,,,,,,,,,,18,688,617,,,,,,,,,,,,,,,
237,7910.9,,,,,,,,,,18,688,618,,,,,,,,,,,,,,,
238,7943.0,,,,,,,,,,18,688,617,,,,,,,,,,,,,,,
239,7974.7,,,,,,,,,,17,689,618,,,,,,,,,,,,,,,
240,8010.8,,,,,,,,,,17,691,619,,,,,,,,,,,,,,,
241,8042.9,,,,,,,,,,18,694,619,,,,,,,,,,,,,,,
242,8074.7,,,,,,,,,,18,698,621,,,,,,,,,,,,,,,
243,8110.5,,,,,,,,,,18,702,620,,,,,,,,,,,,,,,
244,8142.7,,,,,,,,,,18,708,621,,,,,,,,,,,,,,,
245,8174.8,,,,,,,,,,17,714,620,,,,,,,,,,,,,,,
246,8210.5,,,,,,,,,,17,721,619,,,,,,,,,,,,,,,
247,8243.7,,,,,,,,,,17,729,617,,,,,,,,,,,,,,,
248,8275.0,,,,,,,,,,17,736,614,,,,,,,,,,,,,,,
249,8310.8,,,,,,,,,,18,744,612,,,,,,,,,,,,,,,
250,8342.9,,,,,,,,,,18,750,611,,,,,,,,,,,,,,,
251,8379.5,,,,,,,,,,17,756,609,,,,,,,,,,,,,,,
252,8410.8,,,,,,,,,,17,762,608,,,,,,,,,,,,,,,
253,8442.9,,,,,,,,,,17,767,608,,,,,,,,,,,,,,,
254,8475.1,,,,,,,,,,17,772,607,,,,,,,,,,,,,,,
255,8510.6,,,,,,,,,,18,775,606,,,,,,,,,,,,,,,
256,8543.6,,,,,,,,,,17,777,603,,,,,,,,,,,,,,,
257,8579.7,,,,,,,,,,18,779,603,,,,,,,,,,,,,,,
258,8615.9,,,,,,,,,,17,780,602,,,,,,,,,,,,,,,
259,8643.0,,,,,,,,,,17,781,602,,,,,,,,,,,,,,,
260,8675.0,,,,,,,,,,18,783,603,,,,,,,,,,,,,,,
261,8714.7,,,,,,,,,,17,783,603,,,,,,,,,,,,,,,
262,8743.0,,,,,,,,,,17,784,603,,,,,,,,,,,,,,,
263,8774.9,,,,,,,,,,17,784,603,,,,,,,,,,,,,,,
264,8810.9,,,,,,,,,,17,785,603,,,,,,,,,,,,,,,
265,8843.0,,,,,,,,,,17,786,605,,,,,,,,,,,,,,,
