frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
352,11742.8,17,677,599,,,,,,,,,,,,,,,
353,11775.1,16,661,598,,,,,,,,,,,,,,,
354,11813.5,17,634,597,,,,,,,,,,,,,,,
355,11844.2,17,601,593,,,,,,,,,,,,,,,
356,11875.6,17,566,593,,,,,,,,,,,,,,,
357,11911.0,18,532,592,,,,,,,,,,,,,,,
358,11946.8,18,504,590,,,,,,,,,,,,,,,
359,11975.6,18,484,588,,,,,,,,,,,,,,,
360,12011.7,19,474,585,,,,,,,,,,,,,,,
361,12043.5,19,477,584,,,,,,,,,,,,,,,
362,12075.3,18,492,583,,,,,,,,,,,,,,,
363,12111.0,18,516,579,,,,,,,,,,,,,,,
364,12143.6,18,548,579,,,,,,,,,,,,,,,
365,12175.1,18,584,577,,,,,,,,,,,,,,,
366,12211.1,18,619,577,,,,,,,,,,,,,,,
367,12243.2,18,650,577,,,,,,,,,,,,,,,
368,12275.2,18,673,576,,,,,,,,,,,,,,,
369,12316.0,18,685,576,,,,,,,,,,,,,,,
370,12343.3,17,684,577,,,,,,,,,,,,,,,
371,12375.0,18,671,578,,,,,,,,,,,,,,,
372,12411.0,18,649,583,,,,,,,,,,,,,,,
373,12443.5,18,618,582,,,,,,,,,,,,,,,
374,12475.2,19,584,588,,,,,,,,,,,,,,,
375,12510.8,18,548,590,,,,,,,,,,,,,,,
376,12543.1,18,516,593,,,,,,,,,,,,,,,
377,12575.3,19,492,595,,,,,,,,,,,,,,,
378,12611.3,18,479,598,,,,,,,,,,,,,,,
379,12643.4,18,476,599,,,,,,,,,,,,,,,
380,12675.1,17,488,603,,,,,,,,,,,,,,,
381,12711.0,17,507,605,,,,,,,,,,,,,,,
382,12743.2,17,535,607,,,,,,,,,,,,,,,
383,12775.3,17,569,609,,,,,,,,,,,,,,,
384,12811.1,17,603,610,,,,,,,,,,,,,,,
385,12843.8,17,634,610,,,,,,,,,,,,,,,
386,12875.2,17,660,611,,,,,,,,,,,,,,,
387,12911.4,16,677,612,,,,,,,,,,,,,,,
388,12943.3,16,683,610,,,,,,,,,,,,,,,
389,12975.4,16,676,610,,,,,,,,,,,,,,,
390,13011.1,16,659,609,,,,,,,,,,,,,,,
391,13043.1,16,633,607,,,,,,,,,,,,,,,
392,13075.3,16,602,605,,,,,,,,,,,,,,,
393,13111.3,17,567,603,,,,,,,,,,,,,,,
394,13143.4,16,535,602,,,,,,,,,,,,,,,
395,13175.3,17,506,596,,,,,,,,,,,,,,,
396,13211.0,17,485,594,,,,,,,,,,,,,,,
397,13243.2,19,476,592,,,,,,,,,,,,,,,
398,13275.3,19,478,589,,,,,,,,,,,,,,,
399,13312.4,19,492,587,,,,,,,,,,,,,,,
400,13343.3,18,516,584,,,,,,,,,,,,,,,
401,13375.2,17,549,582,,,,,,,,,,,,,,,
402,13411.1,18,583,579,,,,,,,,,,,,,,,
403,13443.0,18,618,577,,,,,,,,,,,,,,,
404,13475.2,18,649,576,,,,,,,,,,,,,,,
405,13511.7,17,672,574,,,,,,,,,,,,,,,
406,13543.7,17,684,573,,,,,,,,,,,,,,,
407,13575.3,17,684,573,,,,,,,,,,,,,,,
408,13611.0,17,672,576,,,,,,,,,,,,,,,
409,13646.9,18,648,576,,,,,,,,,,,,,,,
410,13675.3,18,617,581,,,,,,,,,,,,,,,
411,13711.3,18,582,583,,,,,,,,,,,,,,,
412,13749.5,18,548,585,,,,,,,,,,,,,,,
413,13775.1,18,516,588,,,,,,,,,,,,,,,
414,13817.4,18,493,591,,,,,,,,,,,,,,,
415,13847.0,18,479,596,,,,,,,,,,,,,,,
416,13877.6,19,477,600,,,,,,,,,,,,,,,
417,13911.3,18,487,602,,,,,,,,,,,,,,,
418,13943.1,18,507,605,,,,,,,,,,,,,,,
419,13975.0,16,537,607,,,,,,,,,,,,,,,
420,14011.2,16,570,610,,,,,,,,,,,,,,,
421,14043.4,16,603,612,,,,,,,,,,,,,,,
